citation,processed_text
Genesis 10:20,sons ham families tongues countries nations
Genesis 10:21,unto shem also father children eber brother japheth elder even children born
Genesis 10:22,children shem elam asshur arphaxad lud aram
Genesis 10:23,children aram uz hul gether mash
Genesis 10:24,arphaxad begat salah salah begat eber
Genesis 10:25,unto eber born two sons name one peleg days earth divided brother name joktan
Genesis 10:26,joktan begat almodad sheleph hazarmaveth jerah
Genesis 10:27,hadoram uzal diklah
Genesis 10:28,obal abimael sheba
Genesis 10:29,ophir havilah jobab sons joktan
Genesis 10:30,dwelling mesha thou goest unto sephar mount east
Genesis 10:31,sons shem families tongues lands nations
Genesis 10:32,families sons noah generations nations nations divided earth flood
Genesis 11:1,whole earth one language one speech
Genesis 11:2,came pass journeyed east found plain land shinar dwelt
Genesis 11:3,said one another go let us make brick burn thoroughly brick stone slime mortar
Genesis 11:4,said go let us build us city tower whose top may reach unto heaven let us make us name lest scattered abroad upon face whole earth
Genesis 11:5,lord came see city tower children men builded
Genesis 11:6,lord said behold people one one language begin nothing restrained imagined
Genesis 11:7,go let us go confound language may understand one another speech
Genesis 11:8,lord scattered abroad thence upon face earth left build city
Genesis 11:9,therefore name called babel lord confound language earth thence lord scatter abroad upon face earth
Genesis 11:10,generations shem shem hundred years old begat arphaxad two years flood
Genesis 11:11,shem lived begat arphaxad five hundred years begat sons daughters
Genesis 11:12,arphaxad lived five thirty years begat salah
Genesis 11:13,arphaxad lived begat salah four hundred three years begat sons daughters
Genesis 11:14,salah lived thirty years begat eber
Genesis 11:15,salah lived begat eber four hundred three years begat sons daughters
Genesis 11:16,eber lived four thirty years begat peleg
Genesis 11:17,eber lived begat peleg four hundred thirty years begat sons daughters
Genesis 11:18,peleg lived thirty years begat reu
Genesis 11:19,peleg lived begat reu two hundred nine years begat sons daughters
Genesis 11:20,reu lived two thirty years begat serug
Genesis 11:21,reu lived begat serug two hundred seven years begat sons daughters
Genesis 11:22,serug lived thirty years begat nahor
Genesis 11:23,serug lived begat nahor two hundred years begat sons daughters
Genesis 11:24,nahor lived nine twenty years begat terah
Genesis 11:25,nahor lived begat terah hundred nineteen years begat sons daughters
Genesis 11:26,terah lived seventy years begat abram nahor haran
Genesis 11:27,generations terah terah begat abram nahor haran haran begat lot
Genesis 11:28,haran died father terah land nativity ur chaldees
Genesis 11:29,abram nahor took wives name abram wife sarai name nahor wife milcah daughter haran father milcah father iscah
Genesis 11:30,sarai barren child
Genesis 11:31,terah took abram son lot son haran son son sarai daughter law son abram wife went forth ur chaldees go land canaan came unto haran dwelt
Genesis 11:32,days terah two hundred five years terah died haran
Genesis 12:1,lord said unto abram get thee thy country thy kindred thy father house unto land show thee
Genesis 12:2,make thee great nation bless thee make thy name great thou shalt blessing
Genesis 12:3,bless bless thee curse curseth thee thee shall families earth blessed
Genesis 12:4,abram departed lord spoken unto lot went abram seventy five years old departed haran
Genesis 12:5,abram took sarai wife lot brother son substance gathered souls gotten haran went forth go land canaan land canaan came
Genesis 12:6,abram passed land unto place sichem unto plain moreh canaanite land
Genesis 12:7,lord appeared unto abram said unto thy seed give land builded altar unto lord appeared unto
Genesis 12:8,removed thence unto mountain east bethel pitched tent bethel west hai east builded altar unto lord called upon name lord
Genesis 12:9,abram journeyed going still toward south
Genesis 12:10,famine land abram went egypt sojourn famine grievous land
Genesis 12:11,came pass come near enter egypt said unto sarai wife behold know thou art fair woman look upon
Genesis 12:12,therefore shall come pass egyptians shall see thee shall say wife kill save thee alive
Genesis 12:13,say pray thee thou art sister may well thy sake soul shall live thee
Genesis 12:14,came pass abram come egypt egyptians beheld woman fair
Genesis 12:15,princes also pharaoh saw commended pharaoh woman taken pharaoh house
Genesis 12:16,entreated abram well sake sheep oxen asses menservants maidservants asses camels
Genesis 12:17,lord plagued pharaoh house great plagues sarai abram wife
Genesis 12:18,pharaoh called abram said thou hast done unto didst thou tell thy wife
Genesis 12:19,saidst thou sister might taken wife therefore behold thy wife take go thy way
Genesis 12:20,pharaoh commanded men concerning sent away wife
Genesis 13:1,abram went egypt wife lot south
Genesis 13:2,abram rich cattle silver gold
Genesis 13:3,went journeys south even bethel unto place tent beginning bethel hai
Genesis 13:4,unto place altar make first abram called name lord
Genesis 13:5,lot also went abram flocks herds tents
Genesis 13:6,land able bear might dwell together substance great could dwell together
Genesis 13:7,strife herdmen abram cattle herdmen lot cattle canaanite perizzite dwelled land
Genesis 13:8,abram said unto lot let strife pray thee thee herdmen thy herdmen brethren
Genesis 13:9,whole land thee separate thyself pray thee thou wilt take left hand go right thou depart right hand go left
Genesis 13:10,lot lifted eyes beheld plain jordan well watered every lord destroyed sodom gomorrah even garden lord like land egypt thou comest unto zoar
Genesis 13:11,lot chose plain jordan lot journeyed east separated one
Genesis 13:12,abram dwelled land canaan lot dwelled cities plain pitched tent toward sodom
Genesis 13:13,men sodom wicked sinners lord exceedingly
Genesis 13:14,lord said unto abram lot separated lift thine eyes look place thou art northward southward eastward westward
Genesis 13:15,land thou seest thee give thy seed ever
Genesis 13:16,make thy seed dust earth man number dust earth shall thy seed also numbered
Genesis 13:17,arise walk land length breadth give unto thee
Genesis 13:18,abram removed tent came dwelt plain mamre hebron built altar unto lord
Genesis 14:1,came pass days amraphel king shinar arioch king ellasar chedorlaomer king elam tidal king nations
Genesis 14:2,made war bera king sodom birsha king gomorrah shinab king admah shemeber king zeboiim king bela zoar
Genesis 14:3,joined together vale siddim salt sea
Genesis 14:4,twelve years served chedorlaomer thirteenth year rebelled
Genesis 14:5,fourteenth year came chedorlaomer kings smote rephaim ashteroth karnaim zuzims ham emins shaveh kiriathaim
Genesis 14:6,horites mount seir unto elparan wilderness
